Weld,C,Mn,Si,S,P,Al,Ti,Cr,Ni,Mo,V,Cu,YS,UTS,El,RA,Temp,Temp
AB,0.062,0.68,0.45,0.009,0.01,0.0005,0.004,0.03,0.03,0.005,0.005,0.03,437,485,21.2,70.7,-30,-52
AB,0.061,0.67,0.45,0.009,0.01,0.0005,0.0042,0.03,0.03,0.005,0.005,0.03,409,466,22.7,73.8,-42,-59
AB,0.065,0.66,0.48,0.008,0.01,0.0005,0.0044,0.03,0.03,0.005,0.005,0.03,410,471,23.7,75.8,-48,-70
AB,0.061,0.67,0.43,0.008,0.008,0.0005,0.0045,0.03,0.03,0.005,0.005,0.03,415,479,23.5,73.9,-44,-65
ACrTi,0.07,0.65,0.32,0.008,0.008,0.0005,0.0005,0.53,0.03,0.005,0.005,0.03,417,498,26.6,78.9,-60,-80
ACrTi,0.071,0.65,0.31,0.007,0.006,0.0005,0.0034,0.53,0.03,0.005,0.005,0.03,420,494,28.6,78.9,-47,-62
ACrTi,0.077,0.66,0.29,0.008,0.008,0.0005,0.008,0.54,0.03,0.005,0.005,0.03,440,507,27,78.9,-27,-51
ACrTi,0.075,0.6,0.31,0.007,0.008,0.0005,0.014,0.52,0.03,0.005,0.005,0.03,445,510,26,78.9,-40,-63
ACrTi,0.071,0.63,0.37,0.006,0.009,0.0005,0.0214,0.52,0.03,0.005,0.005,0.03,467,530,22.4,76.9,-47,-66
ACrTi,0.07,0.65,0.35,0.008,0.01,0.0005,0.0005,1.01,0.03,0.005,0.005,0.03,481,559,22,75,-40,-68
ACrTi,0.077,0.66,0.32,0.008,0.01,0.0005,0.0034,1.03,0.03,0.005,0.005,0.03,490,558,21,77.9,-35,-54
ACrTi,0.082,0.67,0.34,0.006,0.009,0.0005,0.0083,1.04,0.03,0.005,0.005,0.03,501,597,22,78.9,-17,-38
ACrTi,0.079,0.64,0.37,0.006,0.01,0.0005,0.0157,1.04,0.03,0.005,0.005,0.03,495,567,23.6,78,-36,-54
ACrTi,0.086,0.62,0.38,0.003,0.01,0.0005,0.0238,1.04,0.03,0.005,0.005,0.03,504,578,22.4,78.9,-32,-63
ACrTi,0.074,0.58,0.25,0.008,0.01,0.0005,0.0004,1.59,0.03,0.005,0.005,0.03,494,593,19,71.9,-22,-48
ACrTi,0.078,0.62,0.26,0.007,0.005,0.0005,0.0029,1.6,0.03,0.005,0.005,0.03,509,596,17,74,-8,-35
ACrTi,0.076,0.62,0.28,0.007,0.009,0.0005,0.0076,1.65,0.03,0.005,0.005,0.03,519,606,17.6,73,-12,-28
ACrTi,0.08,0.63,0.28,0.007,0.005,0.0005,0.0118,1.7,0.03,0.005,0.005,0.03,535,623,20.8,74,-12,-41
ACrTi,0.082,0.63,0.33,0.006,0.007,0.0005,0.017,1.7,0.03,0.005,0.005,0.03,540,644,17.9,76,-3,-31
ACrTi,0.076,0.64,0.28,0.008,0.008,0.0005,0.0008,2.1,0.03,0.005,0.005,0.03,565,660,,68.6,26,-40
ACrTi,0.078,0.64,0.28,0.008,0.007,0.0005,0.0042,2.15,0.03,0.005,0.005,0.03,569,686,18,68.6,8,-33
ACrTi,0.08,0.68,0.32,0.007,0.008,0.0005,0.0078,2,0.03,0.005,0.005,0.03,585,668,18.8,73,7,-32
ACrTi,0.088,0.67,0.34,0.007,0.008,0.0005,0.014,2.05,0.03,0.005,0.005,0.03,613,707,15.6,70.8,20,-33
ACrTi,0.083,0.66,0.37,0.007,0.007,0.0005,0.022,1.99,0.03,0.005,0.005,0.03,628,714,18,70.8,17,-20
ACuTi,0.073,0.64,0.34,0.008,0.007,0.0005,0.0007,0.03,0.03,0.005,0.005,0.03,404,494,32.4,76,-46,-70
ACuTi,0.073,0.64,0.35,0.005,0.004,0.0005,0.0038,0.03,0.03,0.005,0.005,0.03,402,494,33.3,77.5,-45,-70
ACuTi,0.074,0.67,0.35,0.008,0.007,0.0005,0.0095,0.03,0.03,0.005,0.005,0.03,396,492,30.2,78,-40,-59
ACuTi,0.078,0.68,0.38,0.009,0.007,0.0005,0.016,0.03,0.03,0.005,0.005,0.03,410,494,31.4,78.9,-36,-58
ACuTi,0.079,0.73,0.44,0.006,0.008,0.0005,0.024,0.03,0.03,0.005,0.005,0.03,440,523,31.4,77,-40,-64
ACuTi,0.068,0.62,0.28,0.008,0.007,0.0005,0.0005,0.03,0.03,0.005,0.005,0.5,391,468,29.4,77,-63,-86
