Weld,C,Mn,Si,S,P,Al,Ti,Cr,Ni,Mo,V,Cu,YS,UTS,El,RA,Temp,Temp
AlTi,0.069,1.39,0.51,0.004,0.008,0.048,0.0069,0.03,0.03,0.005,0.005,0.03,466,533,27.2,77,-54,-70
AlTi,0.072,1.4,0.57,0.004,0.008,0.064,0.008,0.03,0.03,0.005,0.005,0.03,486,555,26.6,78,-41,-68
AlTi,0.081,1.54,0.34,0.007,0.008,0.0003,0.018,0.03,0.03,0.005,0.005,0.03,502,555,26.6,78.9,-52,-67
AlTi,0.072,1.32,0.24,0.006,0.008,0.0047,0.018,0.03,0.03,0.005,0.005,0.03,452,535,30.7,78.9,-35,-54
AlTi,0.072,1.33,0.34,0.006,0.008,0.015,0.019,0.03,0.03,0.005,0.005,0.03,467,522,29.2,77,-52,-64
AlTi,0.074,1.36,0.41,0.005,0.005,0.032,0.026,0.03,0.03,0.005,0.005,0.03,514,570,23.6,77,-47,-63
AlTi,0.066,1.41,0.46,0.004,0.009,0.044,0.024,0.03,0.03,0.005,0.005,0.03,522,580,24,76,-42,-68
AlTi,0.066,1.33,0.44,0.004,0.008,0.068,0.024,0.03,0.03,0.005,0.005,0.03,522,591,23.8,71.9,-42,-76
AlTi,0.069,1.49,0.43,0.004,0.005,0.0001,0.046,0.03,0.03,0.005,0.005,0.03,535,594,26,79.8,-60,-78
AlTi,0.071,1.44,0.36,0.007,0.005,0.0067,0.046,0.03,0.03,0.005,0.005,0.03,522,583,22,78.9,-48,-69
AlTi,0.071,1.39,0.42,0.007,0.005,0.015,0.042,0.03,0.03,0.005,0.005,0.03,531,587,25.2,78,-56,-74
AlTi,0.071,1.44,0.52,0.005,0.005,0.03,0.046,0.03,0.03,0.005,0.005,0.03,538,604,23.2,77,-49,-65
AlTi,0.069,1.41,0.54,0.005,0.005,0.042,0.046,0.03,0.03,0.005,0.005,0.03,561,622,26,77,-43,-63
AlTi,0.067,1.4,0.57,0.005,0.005,0.05,0.045,0.03,0.03,0.005,0.005,0.03,547,616,22.6,75,-44,-76
AMoTi,0.073,0.64,0.34,0.008,0.007,0.0005,0.0007,0.03,0.03,0.005,0.005,0.03,404,494,32.4,76,-46,-70
AMoTi,0.073,0.64,0.35,0.005,0.004,0.0005,0.0038,0.03,0.03,0.005,0.005,0.03,402,494,33.3,77.5,-45,-70
AMoTi,0.074,0.67,0.35,0.008,0.007,0.0005,0.0095,0.03,0.03,0.005,0.005,0.03,396,492,30.2,78,-40,-59
AMoTi,0.078,0.68,0.38,0.009,0.007,0.0005,0.016,0.03,0.03,0.005,0.005,0.03,410,494,31.4,78.9,-36,-58
AMoTi,0.079,0.73,0.44,0.006,0.008,0.0005,0.024,0.03,0.03,0.005,0.005,0.03,440,523,31.4,77,-40,-64
AMoTi,0.073,0.66,0.31,0.006,0.008,0.0005,0.0005,0.03,0.03,0.24,0.005,0.03,433,518,26,78.9,-61,-87
AMoTi,0.069,0.68,0.33,0.006,0.008,0.0005,0.0036,0.03,0.03,0.24,0.005,0.03,436,519,24.6,78.9,-58,-82
AMoTi,0.07,0.66,0.31,0.005,0.007,0.0005,0.0087,0.03,0.03,0.24,0.005,0.03,441,525,25.2,78.9,-42,-60
AMoTi,0.073,0.68,0.37,0.005,0.008,0.0005,0.018,0.03,0.03,0.23,0.005,0.03,455,545,24.2,78.9,-43,-58
AMoTi,0.078,0.73,0.42,0.005,0.009,0.0005,0.022,0.03,0.03,0.23,0.005,0.03,470,556,27.4,78.9,-45,-64
AMoTi,0.077,0.66,0.3,0.007,0.007,0.0005,0.0005,0.03,0.03,0.5,0.005,0.03,470,559,24.6,75,-42,-76
AMoTi,0.073,0.66,0.34,0.007,0.007,0.0005,0.0042,0.03,0.03,0.5,0.005,0.03,483,565,27.2,78,-48,-65
AMoTi,0.074,0.67,0.33,0.007,0.007,0.0005,0.0094,0.03,0.03,0.51,0.005,0.03,477,560,23.8,77,-33,-57
AMoTi,0.079,0.7,0.39,0.006,0.007,0.0005,0.017,0.03,0.03,0.51,0.005,0.03,505,581,24.6,76,-38,-56
AMoTi,0.083,0.72,0.44,0.005,0.006,0.0005,0.027,0.03,0.03,0.5,0.005,0.03,504,597,22.4,77,-38,-55
AMoTi,0.075,0.63,0.3,0.008,0.008,0.0005,0.0005,0.03,0.03,1.03,0.005,0.03,528,619,20.6,73,7,-57
AMoTi,0.072,0.66,0.32,0.007,0.007,0.0005,0.004,0.03,0.03,1.03,0.005,0.03,565,644,23.6,76,-33,-66
AMoTi,0.075,0.67,0.32,0.007,0.007,0.0005,0.0095,0.03,0.03,1.01,0.005,0.03,565,651,19.2,73,-12,-36
AMoTi,0.08,0.69,0.38,0.007,0.006,0.0005,0.017,0.03,0.03,1.02,0.005,0.03,576,659,20.6,74,-8,-45
AMoTi,0.081,0.71,0.45,0.006,0.007,0.0005,0.028,0.03,0.03,1.03,0.005,0.03,606,694,21,74,-14,-46
ANiTi,0.073,0.64,0.34,0.008,0.007,0.0005,0.0007,0.03,0.03,0.005,0.005,0.03,404,494,32.4,76,-46,-70
ANiTi,0.073,0.64,0.35,0.005,0.004,0.0005,0.0038,0.03,0.03,0.005,0.005,0.03,402,494,33.3,77.5,-45,-70
ANiTi,0.074,0.67,0.35,0.008,0.007,0.0005,0.0095,0.03,0.03,0.005,0.005,0.03,396,492,30.2,78,-40,-59
ANiTi,0.078,0.68,0.38,0.009,0.007,0.0005,0.016,0.03,0.03,0.005,0.005,0.03,410,494,31.4,78.9,-36,-58
ANiTi,0.079,0.73,0.44,0.006,0.008,0.0006,0.024,0.03,0.03,0.005,0.005,0.03,440,523,31.4,77,-40,-64
ANiTi,0.064,0.63,0.3,0.006,0.008,0.0007,0.0005,0.03,0.92,0.005,0.005,0.03,423,501,31.8,77,-63,-88
ANiTi,0.063,0.65,0.31,0.006,0.009,0.0008,0.0038,0.03,0.88,0.005,0.005,0.03,432,513,29.6,78.9,-66,-81
ANiTi,0.067,0.64,0.34,0.006,0.008,0.0009,0.0096,0.03,0.87,0.005,0.005,0.03,429,512,30.8,78.9,-53,-74
ANiTi,0.07,0.67,0.34,0.005,0.008,0.001,0.0165,0.03,0.89,0.005,0.005,0.03,449,525,30,78.9,-49,-69
ANiTi,0.07,0.66,0.4,0.005,0.01,0.0011,0.024,0.03,0.89,0.005,0.005,0.03,452,534,28.4,78.9,-50,-72
ANiTi,0.065,0.61,0.26,0.007,0.007,0.0012,0.0005,0.03,2.14,0.005,0.005,0.03,443,528,32.4,76,-65,-95
ANiTi,0.064,0.61,0.27,0.007,0.007,0.0013,0.0032,0.03,2.17,0.005,0.005,0.03,461,537,28,78.9,-83,-113
ANiTi,0.064,0.6,0.27,0.006,0.007,0.0014,0.008,0.03,2.13,0.005,0.005,0.03,473,547,32.4,77,-77,-96
ANiTi,0.07,0.64,0.31,0.006,0.007,0.0015,0.015,0.03,2.1,0.005,0.005,0.03,474,562,27.2,78.9,-72,-100
ANiTi,0.074,0.63,0.36,0.006,0.006,0.0016,0.022,0.03,2.04,0.005,0.005,0.03,495,562,28,78,-67,-99
ANiTi,0.062,0.62,0.29,0.007,0.007,0.0017,0.0006,0.03,3.01,0.005,0.005,0.03,457,543,27.6,77,-65,-98
ANiTi,0.057,0.65,0.3,0.007,0.007,0.0018,0.0036,0.03,3.03,0.005,0.005,0.03,477,557,29.4,78,-85,-114
ANiTi,0.059,0.63,0.31,0.007,0.007,0.0019,0.0082,0.03,3,0.005,0.005,0.03,489,571,30.2,78,-75,-102
ANiTi,0.065,0.65,0.35,0.007,0.006,0.002,0.015,0.03,3,0.005,0.005,0.03,490,576,30.2,77.5,-74,-112
ANiTi,0.069,0.67,0.39,0.006,0.011,0.0021,0.022,0.03,2.96,0.005,0.005,0.03,533,599,27,78,-75,-105
ANiTi,0.054,0.66,0.31,0.007,0.007,0.0022,0.0008,0.03,5.37,0.005,0.005,0.03,591,655,20.4,68.6,-65,43
ANiTi,0.057,0.66,0.32,0.007,0.008,0.0023,0.0048,0.03,5.43,0.005,0.005,0.03,609,665,22.8,73,-69,58
ANiTi,0.058,0.62,0.3,0.007,0.007,0.0024,0.0107,0.03,5.38,0.005,0.005,0.03,611,671,22.6,73,-81,77
ANiTi,0.063,0.66,0.35,0.006,0.006,0.0025,0.0177,0.03,5.48,0.005,0.005,0.03,627,695,20.6,73,-72,53
ANiTi,0.063,0.65,0.37,0.006,0.007,0.0005,0.0236,0.03,5.45,0.005,0.005,0.03,643,705,19.4,69.7,-73,62
ACoNb,0.063,0.64,0.36,0.007,0.007,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,407,481,29.6,77,-53,-78
ACoNb,0.061,0.64,0.35,0.007,0.011,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,440,515,27.2,77,-49,-67
ACoNb,0.061,0.66,0.34,0.007,0.008,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,471,532,23.8,76,-44,-67
ACoNb,0.064,0.66,0.32,0.008,0.009,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,517,572,23.8,75,-21,-48
ACoNb,0.062,0.67,0.33,0.008,0.011,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,567,616,22.6,74,-2,-34
ACoNb,0.07,1.59,0.33,0.006,0.007,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,458,548,27,77,-24,-42
ACoNb,0.07,1.54,0.31,0.007,0.008,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,509,586,26.4,76,-35,-68
ACoNb,0.07,1.55,0.3,0.007,0.008,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,561,613,22.2,75,-33,-69
ACoNb,0.069,1.57,0.3,0.007,0.008,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,577,637,20.6,75,-19,-59
ACoNb,0.068,1.56,0.31,0.007,0.009,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,657,705,18.6,71.9,-2,-32
ACoV,0.063,0.64,0.36,0.007,0.007,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,407,481,29.6,77,-53,-78
ACoV,0.065,0.65,0.32,0.008,0.008,0.0005,0.0005,0.03,0.03,0.005,0.19,0.03,417,489,29.2,77,-56,-78
ACoV,0.063,0.67,0.3,0.007,0.008,0.0005,0.0005,0.03,0.03,0.005,0.4,0.03,436,507,27.4,78,-53,-75
ACoV,0.064,0.64,0.32,0.007,0.008,0.0005,0.0005,0.03,0.03,0.005,0.59,0.03,472,523,24.8,73.9,-47,-74
ACoV,0.065,0.65,0.32,0.007,0.008,0.0005,0.0005,0.03,0.03,0.005,0.79,0.03,492,540,25.6,76,-45,-69
ACoV,0.07,1.59,0.33,0.006,0.007,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,458,548,27,77,-24,-42
ACoV,0.068,1.46,0.29,0.007,0.009,0.0005,0.0005,0.03,0.03,0.005,0.25,0.03,484,550,23.8,78,-45,-72
ACoV,0.067,1.47,0.29,0.007,0.008,0.0005,0.0005,0.03,0.03,0.005,0.41,0.03,484,566,23.6,76,-48,-82
ACoV,0.068,1.48,0.3,0.007,0.009,0.0005,0.0005,0.03,0.03,0.005,0.61,0.03,534,584,23.6,75.5,-57,-84
ACoV,0.064,1.46,0.29,0.006,0.009,0.0005,0.0005,0.03,0.03,0.005,0.83,0.03,535,590,21.2,75.5,-44,-77
AoPlus,0.073,0.64,0.34,0.008,0.007,0.0005,0.0007,0.03,0.03,0.005,0.005,0.03,404,494,32.4,76,-46,-70
AoPlus,0.064,0.63,0.3,0.006,0.008,0.0005,0.0005,0.03,0.92,0.005,0.005,0.03,423,501,31.8,77,-63,-88
AoPlus,0.065,0.61,0.26,0.007,0.007,0.0005,0.0005,0.03,2.14,0.005,0.005,0.03,443,528,32.4,76,-65,-95
AoPlus,0.062,0.62,0.29,0.007,0.007,0.0005,0.0006,0.03,3.01,0.005,0.005,0.03,457,543,27.6,77,-65,-98
AoPlus,0.07,0.66,0.31,0.006,0.008,0.0005,0.0005,0.03,0.03,0.24,0.005,0.03,433,518,26,78.9,-61,-87
AoPlus,0.073,0.66,0.34,0.007,0.007,0.0005,0.0005,0.03,0.03,0.5,0.005,0.03,470,559,24.6,75,-42,-76
AoPlus,0.075,0.63,0.3,0.008,0.008,0.0005,0.0005,0.03,0.03,1.03,0.005,0.03,528,619,20.6,73,7,-57
AoPlus,0.07,0.65,0.35,0.008,0.01,0.0005,0.0005,1.01,0.03,0.005,0.005,0.03,481,559,22,75,-40,-68
AoPlus,0.074,0.58,0.25,0.008,0.01,0.0005,0.0004,1.59,0.03,0.005,0.005,0.03,494,593,19,71.9,-22,-48
AoPlus,0.076,0.64,0.28,0.008,0.008,0.0005,0.0008,2.1,0.03,0.005,0.005,0.03,565,660,-,68.6,26,-40
AoPlus,0.068,0.62,0.28,0.008,0.007,0.0005,0.0005,0.03,0.03,0.005,0.005,0.5,391,468,29.4,77,-63,-86
AoPlus,0.065,0.62,0.3,0.007,0.009,0.0005,0.0004,0.03,0.03,0.005,0.005,1.03,439,509,31.6,78.9,-54,-87
AoPlus,0.064,0.64,0.32,0.007,0.008,0.0005,0.0004,0.03,0.03,0.005,0.005,1.6,504,565,26.6,73,-24,-70
AO-Ti,0.073,0.64,0.34,0.008,0.007,0.0005,0.0007,0.03,0.03,0.005,0.005,0.03,404,494,32.4,76,-46,-70
AO-Ti,0.073,0.64,0.35,0.005,0.004,0.0005,0.0038,0.03,0.03,0.005,0.005,0.03,402,494,33.3,77.5,-45,-70
AO-Ti,0.074,0.67,0.35,0.008,0.007,0.0005,0.0095,0.03,0.03,0.005,0.005,0.03,396,492,30.2,78,-40,-59
AO-Ti,0.078,0.68,0.38,0.009,0.007,0.0005,0.016,0.03,0.03,0.005,0.005,0.03,410,494,31.4,78.9,-36,-58
AO-Ti,0.079,0.73,0.44,0.006,0.008,0.0005,0.024,0.03,0.03,0.005,0.005,0.03,440,523,31.4,77,-40,-64
AO-Ti,0.067,0.62,0.31,0.005,0.004,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,384,461,31.2,78.9,-62,-77
AO-Ti,0.068,0.63,0.29,0.005,0.005,0.0005,0.0032,0.03,0.03,0.005,0.005,0.03,390,459,28,80.7,-60,-77
AO-Ti,0.066,0.58,0.21,0.005,0.005,0.0005,0.0075,0.03,0.03,0.005,0.005,0.03,376,447,30.4,78.5,-54,-68
AO-Ti,0.066,0.56,0.21,0.004,0.005,0.0005,0.012,0.03,0.03,0.005,0.005,0.03,373,450,34.4,80.7,-52,-68
AO-Ti,0.064,0.54,0.21,0.005,0.005,0.0005,0.015,0.03,0.03,0.005,0.005,0.03,387,452,28.8,80.7,-41,-52
AO-Ti,0.07,0.59,0.37,0.004,0.005,0.0005,0.0002,0.03,0.03,0.005,0.005,0.03,370,452,32,84,-68,-84
AO-Ti,0.068,0.59,0.37,0.004,0.007,0.0005,0.0051,0.03,0.03,0.005,0.005,0.03,379,461,34,80.7,-58,-72
AO-Ti,0.053,0.56,0.27,0.003,0.005,0.0005,0.0075,0.03,0.03,0.005,0.005,0.03,379,455,34,80.7,-53,-71
AO-Ti,0.067,0.51,0.21,0.004,0.005,0.0005,0.011,0.03,0.03,0.005,0.005,0.03,373,453,33,77.9,-53,-69
AO-Ti,0.065,0.48,0.2,0.003,0.004,0.0005,0.015,0.03,0.03,0.005,0.005,0.03,364,450,33.4,78.9,-46,-54
Aplus,0.073,0.64,0.35,0.005,0.004,0.0005,0.0038,0.03,0.03,0.005,0.005,0.03,402,494,33.3,77.5,-45,-70
Aplus,0.063,0.65,0.31,0.006,0.009,0.0005,0.0038,0.03,0.88,0.005,0.005,0.03,423,501,31.8,77,-63,-88
Aplus,0.064,0.61,0.27,0.007,0.007,0.0005,0.0032,0.03,2.17,0.005,0.005,0.03,461,537,28,78.9,-83,-113
Aplus,0.067,0.65,0.3,0.007,0.007,0.0005,0.0036,0.03,3.03,0.005,0.005,0.03,477,557,29.4,78,-85,-114
Aplus,0.069,0.68,0.33,0.006,0.008,0.0005,0.0036,0.03,0.03,0.24,0.005,0.03,436,519,24.6,78.6,-58,-82
Aplus,0.073,0.66,0.34,0.007,0.007,0.0005,0.0042,0.03,0.03,0.5,0.005,0.03,483,565,27.2,78,-48,-65
Aplus,0.072,0.66,0.32,0.007,0.007,0.0005,0.004,0.03,0.03,1.03,0.005,0.03,565,644,23.6,76,-33,-66
Aplus,0.077,0.66,0.32,0.008,0.01,0.0005,0.0034,1.03,0.03,0.005,0.005,0.03,490,558,21,77.9,-35,-54
Aplus,0.078,0.62,0.26,0.007,0.005,0.0005,0.0029,1.6,0.03,0.005,0.005,0.03,509,596,17,74,-8,-35
Aplus,0.078,0.64,0.28,0.008,0.007,0.0005,0.0042,2.15,0.03,0.005,0.005,0.03,598,685,18,68.6,8,-33
Aplus,0.063,0.64,0.3,0.008,0.008,0.0005,0.0043,0.03,0.03,0.005,0.005,0.53,417,498,29.2,78.9,-62,-94
Aplus,0.064,0.63,0.3,0.007,0.007,0.0005,0.0042,0.03,0.03,0.005,0.005,1.05,429,497,26.6,77,-58,-94
Aplus,0.066,0.67,0.37,0.006,0.008,0.0005,0.0051,0.03,0.03,0.005,0.005,1.44,516,568,28.8,75,-43,-77
20 As,0.073,1.52,0.33,0.009,0.014,0.0005,0.0039,0.03,0.03,0.005,0.005,0.03,472,554,28.4,77.6,-71,-91
290,0.074,1.53,0.31,0.011,0.011,0.0005,0.0038,0.03,0.03,0.005,0.005,0.03,466,550,28.1,75.2,-68,-90
570,0.067,1.48,0.28,0.01,0.012,0.0005,0.0039,0.03,0.03,0.005,0.005,0.03,461,540,29.5,76.6,-65,-85
870,0.065,1.43,0.26,0.01,0.011,0.0005,0.0038,0.03,0.03,0.005,0.005,0.03,460,543,27,78.5,-62,-87
1000,0.069,1.45,0.29,0.01,0.012,0.0005,0.0034,0.03,0.03,0.005,0.005,0.03,477,549,27.6,74.7,-64,-92
BN,0.073,1.51,0.3,0.007,0.007,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,462,539,28.7,77.9,-15,-47
BN,0.067,1.53,0.27,0.008,0.007,0.0005,0.0002,0.03,0.03,0.005,0.005,0.03,461,530,26.5,77.5,-11,-48
BN,0.071,1.58,0.29,0.007,0.006,0.0005,0.0002,0.03,0.03,0.005,0.005,0.03,462,537,27.6,74.6,-14,-55
BN,0.066,1.48,0.33,0.008,0.007,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,467,542,22.1,76,-22,-63
BN,0.066,1.48,0.37,0.008,0.008,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,431,521,24.3,75.3,-37,-72
BN,0.068,1.53,0.39,0.008,0.007,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,470,547,21.1,73.2,-50,-92
BN,0.064,1.49,0.4,0.007,0.005,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,478,561,22.2,73.6,-34,-75
BN,0.074,1.58,0.28,0.008,0.008,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,473,566,24,77,5,-24
BN,0.074,1.6,0.31,0.007,0.008,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,475,565,25.7,73.4,6,-23
BN,0.077,1.55,0.32,0.007,0.008,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,492,571,25.4,72.2,6,-31
BN,0.074,1.59,0.35,0.007,0.008,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,468,571,24.8,72,-2,-39
BN,0.075,1.58,0.33,0.007,0.008,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,462,544,25,75.6,-16,-47
BN,0.082,1.6,0.36,0.007,0.008,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,474,549,24.7,73.3,-29,-62
BN,0.07,1.55,0.39,0.007,0.007,0.0005,0.0007,0.03,0.03,0.005,0.005,0.03,474,562,21.3,67.4,-52,-84
BN,0.073,1.66,0.27,0.009,0.008,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,505,607,24,76,20,-16
BN,0.078,1.6,0.3,0.007,0.007,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,506,600,23.3,72.1,18,-12
BN,0.083,1.59,0.31,0.007,0.008,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,501,586,22.7,73.4,15,-21
BN,0.079,1.58,0.34,0.007,0.007,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,493,580,22.9,71,13,-28
BN,0.071,1.6,0.36,0.007,0.008,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,482,564,23.5,71.7,8,-33
BN,0.078,1.58,0.38,0.007,0.007,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,470,555,24.9,73.4,1,-46
BN,0.064,1.43,0.36,0.008,0.008,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,439,528,22.4,70.8,-13,-44
CB,0.076,1.68,0.29,0.005,0.005,0.0005,0.0004,0.03,0.03,0.005,0.005,0.03,500,542,30.2,77.4,-47,-64
CB,0.069,1.67,0.3,0.005,0.005,0.0005,0.0004,0.03,0.03,0.005,0.005,0.03,497,532,26.4,76.5,-39,-62
CB,0.07,1.61,0.33,0.005,0.005,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,477,528,29,77.8,-45,-58
CB,0.069,1.57,0.41,0.004,0.006,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,420,522,23.6,78.9,-64,-82
CB,0.07,1.59,0.49,0.005,0.007,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,490,579,22,78.9,-38,-67
CB,0.073,1.51,0.3,0.007,0.007,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,462,539,28.7,77.9,-15,-47
CB,0.067,1.53,0.27,0.008,0.007,0.0005,0.0002,0.03,0.03,0.005,0.005,0.03,461,530,26.5,77.5,-11,-48
CB,0.071,1.58,0.29,0.007,0.006,0.0005,0.0002,0.03,0.03,0.005,0.005,0.03,462,537,27.6,74.6,-14,-55
CB,0.066,1.48,0.33,0.008,0.007,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,467,542,22.1,76,-22,-63
CB,0.066,1.48,0.37,0.008,0.008,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,431,521,24.3,75.3,-37,-72
CB,0.068,1.53,0.39,0.008,0.007,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,470,547,21.1,73.2,-50,-92
CB,0.064,1.49,0.4,0.007,0.005,0.0005,0.0005,0.03,0.03,0.005,0.005,0.03,478,561,22.2,73.6,-34,-75
CB,0.074,1.46,0.28,0.008,0.008,0.0005,0.0035,0.03,0.03,0.005,0.005,0.03,460,533,27.6,78.9,-68,-88
CB,0.068,1.51,0.34,0.007,0.008,0.0005,0.0033,0.03,0.03,0.005,0.005,0.03,514,575,25,75.7,-60,-96
CB,0.065,1.48,0.35,0.007,0.007,0.0005,0.0034,0.03,0.03,0.005,0.005,0.03,479,540,26,75.5,-55,-84
CB,0.064,1.43,0.36,0.007,0.007,0.0005,0.0036,0.03,0.03,0.005,0.005,0.03,479,533,25.2,74.7,-65,-93
CB,0.067,1.45,0.31,0.008,0.008,0.0005,0.0038,0.03,0.03,0.005,0.005,0.03,477,545,22.5,74.7,-60,-90
CB,0.066,1.44,0.39,0.007,0.009,0.0005,0.0045,0.03,0.03,0.005,0.005,0.03,460,557,23.1,73.6,-50,-78
CB,0.074,1.45,0.3,0.007,0.009,0.0005,0.012,0.03,0.03,0.005,0.005,0.03,480,538,27.8,79.8,-43,-59
CB,0.071,1.55,0.35,0.007,0.01,0.0005,0.013,0.03,0.03,0.005,0.005,0.03,512,560,26.2,78.4,-57,-77
CB,0.071,1.53,0.34,0.007,0.01,0.0005,0.011,0.03,0.03,0.005,0.005,0.03,486,540,27.6,74.3,-56,-79
CB,0.068,1.45,0.34,0.008,0.009,0.0005,0.013,0.03,0.03,0.005,0.005,0.03,488,554,25.4,74.2,-65,-86
CB,0.066,1.43,0.33,0.008,0.009,0.0005,0.012,0.03,0.03,0.005,0.005,0.03,486,570,23.9,72.1,-59,-83
CB,0.067,1.41,0.36,0.009,0.009,0.0005,0.012,0.03,0.03,0.005,0.005,0.03,479,554,24.6,74.5,-40,-54
CB,0.072,1.5,0.38,0.006,0.01,0.0005,0.026,0.03,0.03,0.005,0.005,0.03,509,578,26.4,78.9,-56,-72
CB,0.07,1.48,0.43,0.007,0.01,0.0005,0.026,0.03,0.03,0.005,0.005,0.03,529,581,25.6,78,-72,-93
CB,0.07,1.53,0.42,0.007,0.009,0.0005,0.029,0.03,0.03,0.005,0.005,0.03,501,564,25.8,75.1,-82,-98
CB,0.066,1.45,0.39,0.006,0.008,0.0005,0.027,0.03,0.03,0.005,0.005,0.03,497,559,28,75.8,-81,-96
CB,0.074,1.42,0.38,0.006,0.009,0.0005,0.027,0.03,0.03,0.005,0.005,0.03,494,572,26.7,77.9,-69,-92
CB,0.069,1.36,0.37,0.007,0.009,0.0005,0.025,0.03,0.03,0.005,0.005,0.03,479,563,25.6,73.5,-52,-79
CB,0.069,1.47,0.45,0.005,0.006,0.0005,0.041,0.03,0.03,0.005,0.005,0.03,504,577,25.8,79.8,-61,-77
CB,0.077,1.56,0.39,0.006,0.011,0.0005,0.04,0.03,0.03,0.005,0.005,0.03,558,616,23.6,74.3,-77,-94
CB,0.074,1.5,0.39,0.006,0.009,0.0005,0.041,0.03,0.03,0.005,0.005,0.03,548,590,25.4,75,-79,-100
CB,0.075,1.49,0.37,0.006,0.01,0.0005,0.037,0.03,0.03,0.005,0.005,0.03,546,594,25.8,73,-81,-107
CB,0.075,1.5,0.4,0.006,0.01,0.0005,0.039,0.03,0.03,0.005,0.005,0.03,514,571,28,79,-83,-108
CB,0.077,1.53,0.42,0.006,0.01,0.0005,0.043,0.03,0.03,0.005,0.005,0.03,547,601,25,74.2,-62,-96
CB,0.073,1.52,0.4,0.006,0.011,0.0005,0.039,0.03,0.03,0.005,0.005,0.03,517,586,22.5,77.7,-53,-80
CB,0.074,1.5,0.47,0.006,0.01,0.0005,0.058,0.03,0.03,0.005,0.005,0.03,546,615,22.7,75.8,-56,-69
CB,0.079,1.54,0.48,0.006,0.01,0.0005,0.061,0.03,0.03,0.005,0.005,0.03,545,617,25.4,76.9,-74,-100
CB,0.073,1.54,0.48,0.006,0.01,0.0005,0.052,0.03,0.03,0.005,0.005,0.03,516,590,26.2,75,-76,-103
CB,0.075,1.52,0.45,0.005,0.009,0.0005,0.061,0.03,0.03,0.005,0.005,0.03,539,610,20.6,71.3,-65,-87
CB,0.07,1.48,0.42,0.006,0.009,0.0005,0.061,0.03,0.03,0.005,0.005,0.03,556,609,22.2,74.2,-55,-84
CB,0.067,1.49,0.4,0.005,0.009,0.0005,0.064,0.03,0.03,0.005,0.005,0.03,549,605,24.3,73,-42,-64
CB,0.074,1.48,0.39,0.005,0.009,0.0005,0.066,0.03,0.03,0.005,0.005,0.03,538,606,23.7,73.4,-26,-44
CMn,0.045,0.65,0.3,0.006,0.008,0.0005,0.0055,0.03,0.03,0.005,0.12,0.03,406,462,35.4,78.8,-29,-39
CMn,0.044,0.98,0.32,0.006,0.008,0.0005,0.0055,0.03,0.03,0.005,0.12,0.03,432,481,35.8,78.8,-40,-63
CMn,0.044,1.32,0.32,0.006,0.007,0.0005,0.0055,0.03,0.03,0.005,0.12,0.03,451,512,32,78.8,-61,-70
CMn,0.045,1.72,0.3,0.006,0.008,0.0005,0.0055,0.03,0.03,0.005,0.12,0.03,488,549,29.6,76,-51,-75
CMn,0.059,0.6,0.33,0.007,0.008,0.0005,0.0055,0.03,0.03,0.005,0.12,0.03,407,483,31.2,80.6,-36,-50
CMn,0.063,1,0.35,0.006,0.008,0.0005,0.0055,0.03,0.03,0.005,0.12,0.03,451,516,32.4,80.6,-46,-66
